путь,категории ПДн,количество_находок,УЗ,формат файла
ПДнDataset/share/Архив сканы/x/zzx89c00/40002609-2610.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/x/zzx21d00/515944308+-4308.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/x/zzx70d00/517756535+-6535.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/x/zzx84f00/0060352267.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/x/zzx86c00/2071133389.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/x/zzx61c00/2084061184.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/x/zzx45f00/0060051277.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/x/zzx98e00/2031513374.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/x/zzx25f00/0060206275.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/x/zzx36d00/50649664-9664.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/x/zzx79c00/50244030-4037.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/x/zzx32d00/2069531424.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/x/zzx51e00/03747860.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/x/zzx91d00/71329566.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/x/zzx72d00/518075755.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/x/zzx23d00/512841566_512841567.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb56d00/CTRSP-FILES027573-75.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb26d00/50546182-6182.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb51a00/0071067500.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb82e00/2040183521.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb10a00/10350601_10350605.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb67d00/2024298010_8018.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb38c00/508851993+-1993.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb06d00/50491022-1023.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb32d00/2501929589.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb09d00/50426112-6114.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb70f00/0011989252.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb83f00/0001142383.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb90c00/2501855195_5202.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb77c00/2084396137_6138.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb02c00/2080731994.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb85f00/0060116558.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb24c00/2080143458.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb82c00/2078772581.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb14c00/2069729124.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb55c00/2076071228b.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb11d00/519689266+-9274.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb91e00/01409855.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb27e00/2028703073.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb42e00/2062498262.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb03e00/2046468258.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb61d00/518079699+-9712.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb02a00/2023382980_2023382987.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb94a00/2063195729.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/b/zzb96d00/tcal0414257.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy21d00/518303671+-3672.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy03e00/2046109202.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy52e00/2056599150.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy89c00/40005199-5206.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy33e00/2043655434.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy41d00/518208662+-8663.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy94a00/2064334043b.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy02a00/2023473560.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy04d00/507995262.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy19e00/2501033072.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy35c00/2083542628.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy70c00/1001402342.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy05c00/2076734459.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy79e00/0000176593.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy29d00/501859325.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy68d00/502865567_502865617.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy95c00/2072568903a.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy22c00/2069739965.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy57c00/2073415682.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy29c00/2505402423.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy25a00/81871212_1213.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy25e00/2024090592.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy35e00/2040765681.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy70a00/0060140228.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy49c00/PUBLICATIONS003667-3.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy80d00/522738348+-8349.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy55a00/530919692+-9693.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy06d00/50536499-6500.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Архив сканы/y/zzy30e00/87003967_87003968.tif,Нет,0,УЗ-4,.tif
ПДнDataset/share/Документы партнеров/%D0%92%D1%81%D0%B5%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B0%D1%8F_%D0%BF%D0%B5%D1%80%D0%B5%D0%BF%D0%B8%D1%81%D1%8C_%D0%B6%D0%B8%D0%B2%D0%BE%D1%82%D0%BD%D1%8B%D1%85.pdf,Нет,0,УЗ-4,.pdf
ПДнDataset/share/Документы партнеров/rules.pdf,"PASSPORT, PHONE, BIRTHDAY, EMAIL",7,УЗ-3,.pdf
ПДнDataset/share/Документы партнеров/agreement_reg.pdf,EMAIL,1,УЗ-4,.pdf
ПДнDataset/share/Документы партнеров/politika_konfidencialnosti.pdf,PASSPORT,1,УЗ-3,.pdf
ПДнDataset/share/Документы партнеров/ok_history_new.pdf,Нет,0,УЗ-4,.pdf
ПДнDataset/share/Документы партнеров/version-090924.pdf,"PASSPORT, PHONE, BIRTHDAY, EMAIL",18,УЗ-3,.pdf
ПДнDataset/share/Документы партнеров/Sport24_Mediakit_2024.pdf,EMAIL,1,УЗ-4,.pdf
ПДнDataset/share/Документы партнеров/google_privacy_policy_en.pdf,Нет,0,УЗ-4,.pdf
ПДнDataset/share/Документы партнеров/VK_Soglashenie_ob_informacionnom_vzaimodeistvii.pdf,Нет,0,УЗ-4,.pdf
ПДнDataset/share/Документы партнеров/agreement_reg_extra.pdf,EMAIL,1,УЗ-4,.pdf
ПДнDataset/share/Документы партнеров/VKCT_Soglashenie_ob_informacionnom_vzaimodeistvii.pdf,Нет,0,УЗ-4,.pdf
ПДнDataset/share/Документы партнеров/capsula_neo_instruction.pdf,PHONE,1,УЗ-4,.pdf
ПДнDataset/share/Документы партнеров/version-300824.pdf,EMAIL,3,УЗ-4,.pdf
ПДнDataset/share/Документы партнеров/capsula_instruction.pdf,PHONE,1,УЗ-4,.pdf
ПДнDataset/share/Документы партнеров/google_terms_of_service_en.pdf,Нет,0,УЗ-4,.pdf
ПДнDataset/share/Выгрузки/Логистика/customers.csv,Нет,0,УЗ-4,.csv
ПДнDataset/share/Выгрузки/Логистика/products.csv,Нет,0,УЗ-4,.csv
ПДнDataset/share/Выгрузки/Логистика/sample.md,Нет,0,УЗ-4,.md
ПДнDataset/share/Выгрузки/Логистика/logistics.csv,Нет,0,УЗ-4,.csv
ПДнDataset/share/Выгрузки/Логистика/stores.csv,Нет,0,УЗ-4,.csv
ПДнDataset/share/Выгрузки/Логистика/sales.csv,Нет,0,УЗ-4,.csv
ПДнDataset/share/Выгрузки/дочерние предприятия/Employes/akt_priema_peredachi_rabochego_mesta.txt,"PASSPORT, PHONE, BIRTHDAY",5,УЗ-3,.txt
ПДнDataset/share/Выгрузки/дочерние предприятия/Employes/zayavka_na_propusk_v_zhk.txt,"PHONE, BIRTHDAY",3,УЗ-4,.txt
ПДнDataset/share/Выгрузки/дочерние предприятия/Employes/zayavlenie_dostavka_oborudovaniya_domoi.txt,"PHONE, BIRTHDAY, EMAIL",3,УЗ-4,.txt
ПДнDataset/share/Выгрузки/дочерние предприятия/Employes/servisnaya_zayavka_vyezd_inzhenera.txt,"PHONE, BIRTHDAY, EMAIL",5,УЗ-4,.txt
ПДнDataset/share/Выгрузки/дочерние предприятия/Employes/soglasie_na_obrabotku_pd.txt,"PHONE, BIRTHDAY, EMAIL",6,УЗ-4,.txt
ПДнDataset/share/Выгрузки/дочерние предприятия/Employes/perepiska_email_dostavka_kresla.txt,"PHONE, EMAIL",7,УЗ-4,.txt
ПДнDataset/share/Выгрузки/дочерние предприятия/Employes/doverennost_na_poluchenie_posylki.txt,"PHONE, BIRTHDAY",7,УЗ-4,.txt
ПДнDataset/share/Выгрузки/дочерние предприятия/Employes/anketa_dms.txt,"PASSPORT, PHONE, BIRTHDAY, EMAIL",8,УЗ-3,.txt
ПДнDataset/share/Выгрузки/дочерние предприятия/Employes/raspiska_poluchenie_noutbuka.txt,"PHONE, BIRTHDAY",4,УЗ-4,.txt
ПДнDataset/share/Выгрузки/дочерние предприятия/Employes/zayavka_kompensaciya_interneta.txt,"PHONE, BIRTHDAY, EMAIL",5,УЗ-4,.txt
ПДнDataset/share/Выгрузки/дочерние предприятия/Billing/psxattrs.csv,Нет,0,УЗ-4,.csv
ПДнDataset/share/Выгрузки/дочерние предприятия/Billing/subscribers.csv,Нет,0,УЗ-4,.csv
ПДнDataset/share/Выгрузки/дочерние предприятия/Billing/plan.json,Нет,0,УЗ-4,.json
ПДнDataset/share/Выгрузки/дочерние предприятия/Billing/client.parquet,Нет,0,УЗ-4,.parquet
ПДнDataset/share/Выгрузки/дочерние предприятия/Billing/physical.parquet,Нет,0,УЗ-4,.parquet
ПДнDataset/share/Выгрузки/дочерние предприятия/Billing/company.parquet,Нет,0,УЗ-4,.parquet
ПДнDataset/share/Выгрузки/дочерние предприятия/Billing/full/customers.csv,Нет,0,УЗ-4,.csv
ПДнDataset/share/Выгрузки/дочерние предприятия/Billing/full/products.csv,Нет,0,УЗ-4,.csv
ПДнDataset/share/Выгрузки/дочерние предприятия/Billing/full/sample.md,Нет,0,УЗ-4,.md
ПДнDataset/share/Выгрузки/дочерние предприятия/Billing/full/logistics.csv,Нет,0,УЗ-4,.csv
ПДнDataset/share/Выгрузки/дочерние предприятия/Billing/full/stores.csv,Нет,0,УЗ-4,.csv
ПДнDataset/share/Выгрузки/дочерние предприятия/Billing/full/sales.csv,Нет,0,УЗ-4,.csv
ПДнDataset/share/Выгрузки/Сайты/page_265.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/95612331-14438121-image-a-96_1740585935880.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/20797_2000.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/page_320.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/page_82.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/page_459.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/IMG_8448.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/355365_original.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/page_398.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/page_232.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/f1add6390f50cb50ada7118c0848ddec.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/192154.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/page_377.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/143984_800.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/page_224.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/7611_800.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/page_361.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/11898_900.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/page_418.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/4345502_original.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/1070167_800.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/5627_900.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/page_273.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/1363763_original.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/305459_original.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/1570_2000.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/14434422_original.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/page_94.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/page_336.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/277459_original.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/95608581-14438121-image-a-59_1740580595609.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/page_208.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/page_121.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/14165960_600.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/page_434.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/364408_original.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/365108_original.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/366646_original.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/124139_800.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/11293_900.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/14441985_original.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/page_57.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/4144069_600.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/4154897_600.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/page_176.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/page_463.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/page_199.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/621809_540.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/278906_original.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/page_249.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/page_41.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/47402_800.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/page_160.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/427512_1000.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/6149_2000.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/422345601_6251787.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/138996_1000.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/47059_800.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/9226_original.png,Нет,0,УЗ-4,.png
ПДнDataset/share/Выгрузки/Сайты/d1b358e46ef23b7ac40dad0bad44db8b.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/page_475.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/page_16.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/10309_900.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/page_137.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/page_422.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/144148_800.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/375548_original.jpg,Нет,0,УЗ-4,.jpg
ПДнDataset/share/Выгрузки/Сайты/page_455.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/page_140.html,Нет,0,УЗ-4,.html
ПДнDataset/share/Выгрузки/Сайты/95607229-14438121-image-a-11_1740578461417.jpg,Нет,0,УЗ-4,.jpg
